file_path,Stress_Level
audio_files\Actor_02\03-01-06-01-01-01-02.wav,1
audio_files\Actor_02\03-01-06-01-01-02-02.wav,1
audio_files\Actor_02\03-01-06-01-02-01-02.wav,1
audio_files\Actor_02\03-01-06-01-02-02-02.wav,1
audio_files\Actor_02\03-01-06-02-01-01-02.wav,1
audio_files\Actor_02\03-01-06-02-01-02-02.wav,1
audio_files\Actor_02\03-01-06-02-02-01-02.wav,1
audio_files\Actor_02\03-01-06-02-02-02-02.wav,1
audio_files\Actor_03\03-01-01-01-01-01-03.wav,0
audio_files\Actor_03\03-01-01-01-01-02-03.wav,0
audio_files\Actor_03\03-01-01-01-02-01-03.wav,0
audio_files\Actor_03\03-01-01-01-02-02-03.wav,0
audio_files\Actor_03\03-01-02-01-01-01-03.wav,0
audio_files\Actor_03\03-01-02-01-01-02-03.wav,0
audio_files\Actor_03\03-01-02-01-02-01-03.wav,0
audio_files\Actor_03\03-01-02-01-02-02-03.wav,0
audio_files\Actor_03\03-01-02-02-01-01-03.wav,0
audio_files\Actor_03\03-01-02-02-01-02-03.wav,0
audio_files\Actor_03\03-01-02-02-02-01-03.wav,0
audio_files\Actor_03\03-01-02-02-02-02-03.wav,0
audio_files\Actor_03\03-01-05-01-01-01-03.wav,1
audio_files\Actor_03\03-01-05-01-01-02-03.wav,1
audio_files\Actor_03\03-01-05-01-02-01-03.wav,1
audio_files\Actor_03\03-01-05-01-02-02-03.wav,1
audio_files\Actor_03\03-01-05-02-01-01-03.wav,1
audio_files\Actor_03\03-01-05-02-01-02-03.wav,1
audio_files\Actor_03\03-01-05-02-02-01-03.wav,1
audio_files\Actor_03\03-01-05-02-02-02-03.wav,1
audio_files\Actor_03\03-01-06-01-01-01-03.wav,1
audio_files\Actor_03\03-01-06-01-01-02-03.wav,1
audio_files\Actor_03\03-01-06-01-02-01-03.wav,1
audio_files\Actor_03\03-01-06-01-02-02-03.wav,1
audio_files\Actor_03\03-01-06-02-01-01-03.wav,1
audio_files\Actor_03\03-01-06-02-01-02-03.wav,1
audio_files\Actor_03\03-01-06-02-02-01-03.wav,1
audio_files\Actor_03\03-01-06-02-02-02-03.wav,1
audio_files\Actor_04\03-01-01-01-01-01-04.wav,0
audio_files\Actor_04\03-01-01-01-01-02-04.wav,0
audio_files\Actor_04\03-01-01-01-02-01-04.wav,0
audio_files\Actor_04\03-01-01-01-02-02-04.wav,0
audio_files\Actor_04\03-01-02-01-01-01-04.wav,0
audio_files\Actor_04\03-01-02-01-01-02-04.wav,0
audio_files\Actor_04\03-01-02-01-02-01-04.wav,0
audio_files\Actor_04\03-01-02-01-02-02-04.wav,0
audio_files\Actor_04\03-01-02-02-01-01-04.wav,0
audio_files\Actor_04\03-01-02-02-01-02-04.wav,0
audio_files\Actor_04\03-01-02-02-02-01-04.wav,0
audio_files\Actor_04\03-01-02-02-02-02-04.wav,0
audio_files\Actor_04\03-01-05-01-01-01-04.wav,1
audio_files\Actor_04\03-01-05-01-01-02-04.wav,1
audio_files\Actor_04\03-01-05-01-02-01-04.wav,1
audio_files\Actor_04\03-01-05-01-02-02-04.wav,1
audio_files\Actor_04\03-01-05-02-01-01-04.wav,1
audio_files\Actor_04\03-01-05-02-01-02-04.wav,1
audio_files\Actor_04\03-01-05-02-02-01-04.wav,1
audio_files\Actor_04\03-01-05-02-02-02-04.wav,1
audio_files\Actor_04\03-01-06-01-01-01-04.wav,1
audio_files\Actor_04\03-01-06-01-01-02-04.wav,1
audio_files\Actor_04\03-01-06-01-02-01-04.wav,1
audio_files\Actor_04\03-01-06-01-02-02-04.wav,1
audio_files\Actor_04\03-01-06-02-01-01-04.wav,1
audio_files\Actor_04\03-01-06-02-01-02-04.wav,1
audio_files\Actor_04\03-01-06-02-02-01-04.wav,1
audio_files\Actor_04\03-01-06-02-02-02-04.wav,1
audio_files\Actor_05\03-01-01-01-01-01-05.wav,0
audio_files\Actor_05\03-01-01-01-01-02-05.wav,0
audio_files\Actor_05\03-01-01-01-02-01-05.wav,0
audio_files\Actor_05\03-01-01-01-02-02-05.wav,0
audio_files\Actor_05\03-01-02-01-01-01-05.wav,0
audio_files\Actor_05\03-01-02-01-01-02-05.wav,0
audio_files\Actor_05\03-01-02-01-02-01-05.wav,0
audio_files\Actor_05\03-01-02-01-02-02-05.wav,0
audio_files\Actor_05\03-01-02-02-01-01-05.wav,0
audio_files\Actor_05\03-01-02-02-01-02-05.wav,0
audio_files\Actor_05\03-01-02-02-02-01-05.wav,0
audio_files\Actor_05\03-01-02-02-02-02-05.wav,0
audio_files\Actor_05\03-01-05-01-01-01-05.wav,1
audio_files\Actor_05\03-01-05-01-01-02-05.wav,1
audio_files\Actor_05\03-01-05-01-02-01-05.wav,1
audio_files\Actor_05\03-01-05-01-02-02-05.wav,1
audio_files\Actor_05\03-01-05-02-01-01-05.wav,1
audio_files\Actor_05\03-01-05-02-01-02-05.wav,1
audio_files\Actor_05\03-01-05-02-02-01-05.wav,1
audio_files\Actor_05\03-01-05-02-02-02-05.wav,1
audio_files\Actor_05\03-01-06-01-01-01-05.wav,1
audio_files\Actor_05\03-01-06-01-01-02-05.wav,1
audio_files\Actor_05\03-01-06-01-02-01-05.wav,1
audio_files\Actor_05\03-01-06-01-02-02-05.wav,1
audio_files\Actor_05\03-01-06-02-01-01-05.wav,1
audio_files\Actor_05\03-01-06-02-01-02-05.wav,1
audio_files\Actor_05\03-01-06-02-02-01-05.wav,1
audio_files\Actor_05\03-01-06-02-02-02-05.wav,1
audio_files\Actor_06\03-01-01-01-01-01-06.wav,0
audio_files\Actor_06\03-01-01-01-01-02-06.wav,0
audio_files\Actor_06\03-01-01-01-02-01-06.wav,0
audio_files\Actor_06\03-01-01-01-02-02-06.wav,0
audio_files\Actor_06\03-01-02-01-01-01-06.wav,0
audio_files\Actor_06\03-01-02-01-01-02-06.wav,0
audio_files\Actor_06\03-01-02-01-02-01-06.wav,0
audio_files\Actor_06\03-01-02-01-02-02-06.wav,0
audio_files\Actor_06\03-01-02-02-01-01-06.wav,0
audio_files\Actor_06\03-01-02-02-01-02-06.wav,0
audio_files\Actor_06\03-01-02-02-02-01-06.wav,0
audio_files\Actor_06\03-01-02-02-02-02-06.wav,0
audio_files\Actor_06\03-01-05-01-01-01-06.wav,1
audio_files\Actor_06\03-01-05-01-01-02-06.wav,1
audio_files\Actor_06\03-01-05-01-02-01-06.wav,1
audio_files\Actor_06\03-01-05-01-02-02-06.wav,1
audio_files\Actor_06\03-01-05-02-01-01-06.wav,1
audio_files\Actor_06\03-01-05-02-01-02-06.wav,1
audio_files\Actor_06\03-01-05-02-02-01-06.wav,1
audio_files\Actor_06\03-01-05-02-02-02-06.wav,1
audio_files\Actor_06\03-01-06-01-01-01-06.wav,1
audio_files\Actor_06\03-01-06-01-01-02-06.wav,1
audio_files\Actor_06\03-01-06-01-02-01-06.wav,1
audio_files\Actor_06\03-01-06-01-02-02-06.wav,1
audio_files\Actor_06\03-01-06-02-01-01-06.wav,1
audio_files\Actor_06\03-01-06-02-01-02-06.wav,1
audio_files\Actor_06\03-01-06-02-02-01-06.wav,1
audio_files\Actor_06\03-01-06-02-02-02-06.wav,1
audio_files\Actor_07\03-01-01-01-01-01-07.wav,0
audio_files\Actor_07\03-01-01-01-01-02-07.wav,0
audio_files\Actor_07\03-01-01-01-02-01-07.wav,0
audio_files\Actor_07\03-01-01-01-02-02-07.wav,0
audio_files\Actor_07\03-01-02-01-01-01-07.wav,0
audio_files\Actor_07\03-01-02-01-01-02-07.wav,0
audio_files\Actor_07\03-01-02-01-02-01-07.wav,0
audio_files\Actor_07\03-01-02-01-02-02-07.wav,0
audio_files\Actor_07\03-01-02-02-01-01-07.wav,0
audio_files\Actor_07\03-01-02-02-01-02-07.wav,0
audio_files\Actor_07\03-01-02-02-02-01-07.wav,0
audio_files\Actor_07\03-01-02-02-02-02-07.wav,0
audio_files\Actor_07\03-01-05-01-01-01-07.wav,1
audio_files\Actor_07\03-01-05-01-01-02-07.wav,1
audio_files\Actor_07\03-01-05-01-02-01-07.wav,1
audio_files\Actor_07\03-01-05-01-02-02-07.wav,1
audio_files\Actor_07\03-01-05-02-01-01-07.wav,1
audio_files\Actor_07\03-01-05-02-01-02-07.wav,1
audio_files\Actor_07\03-01-05-02-02-01-07.wav,1
audio_files\Actor_07\03-01-05-02-02-02-07.wav,1
audio_files\Actor_07\03-01-06-01-01-01-07.wav,1
audio_files\Actor_07\03-01-06-01-01-02-07.wav,1
audio_files\Actor_07\03-01-06-01-02-01-07.wav,1
audio_files\Actor_07\03-01-06-01-02-02-07.wav,1
audio_files\Actor_07\03-01-06-02-01-01-07.wav,1
audio_files\Actor_07\03-01-06-02-01-02-07.wav,1
audio_files\Actor_07\03-01-06-02-02-01-07.wav,1
audio_files\Actor_07\03-01-06-02-02-02-07.wav,1
audio_files\Actor_08\03-01-01-01-01-01-08.wav,0
audio_files\Actor_08\03-01-01-01-01-02-08.wav,0
audio_files\Actor_08\03-01-01-01-02-01-08.wav,0
audio_files\Actor_08\03-01-01-01-02-02-08.wav,0
audio_files\Actor_08\03-01-02-01-01-01-08.wav,0
audio_files\Actor_08\03-01-02-01-01-02-08.wav,0
audio_files\Actor_08\03-01-02-01-02-01-08.wav,0
audio_files\Actor_08\03-01-02-01-02-02-08.wav,0
audio_files\Actor_08\03-01-02-02-01-01-08.wav,0
audio_files\Actor_08\03-01-02-02-01-02-08.wav,0
audio_files\Actor_08\03-01-02-02-02-01-08.wav,0
audio_files\Actor_08\03-01-02-02-02-02-08.wav,0
audio_files\Actor_08\03-01-05-01-01-01-08.wav,1
audio_files\Actor_08\03-01-05-01-01-02-08.wav,1
audio_files\Actor_08\03-01-05-01-02-01-08.wav,1
audio_files\Actor_08\03-01-05-01-02-02-08.wav,1
audio_files\Actor_08\03-01-05-02-01-01-08.wav,1
audio_files\Actor_08\03-01-05-02-01-02-08.wav,1
audio_files\Actor_08\03-01-05-02-02-01-08.wav,1
audio_files\Actor_08\03-01-05-02-02-02-08.wav,1
audio_files\Actor_08\03-01-06-01-01-01-08.wav,1
audio_files\Actor_08\03-01-06-01-01-02-08.wav,1
audio_files\Actor_08\03-01-06-01-02-01-08.wav,1
audio_files\Actor_08\03-01-06-01-02-02-08.wav,1
audio_files\Actor_08\03-01-06-02-01-01-08.wav,1
audio_files\Actor_08\03-01-06-02-01-02-08.wav,1
audio_files\Actor_08\03-01-06-02-02-01-08.wav,1
audio_files\Actor_08\03-01-06-02-02-02-08.wav,1
audio_files\Actor_09\03-01-01-01-01-01-09.wav,0
audio_files\Actor_09\03-01-01-01-01-02-09.wav,0
audio_files\Actor_09\03-01-01-01-02-01-09.wav,0
audio_files\Actor_09\03-01-01-01-02-02-09.wav,0
audio_files\Actor_09\03-01-02-01-01-01-09.wav,0
audio_files\Actor_09\03-01-02-01-01-02-09.wav,0
audio_files\Actor_09\03-01-02-01-02-01-09.wav,0
audio_files\Actor_09\03-01-02-01-02-02-09.wav,0
audio_files\Actor_09\03-01-02-02-01-01-09.wav,0
audio_files\Actor_09\03-01-02-02-01-02-09.wav,0
audio_files\Actor_09\03-01-02-02-02-01-09.wav,0
audio_files\Actor_09\03-01-02-02-02-02-09.wav,0
audio_files\Actor_09\03-01-05-01-01-01-09.wav,1
audio_files\Actor_09\03-01-05-01-01-02-09.wav,1
audio_files\Actor_09\03-01-05-01-02-01-09.wav,1
audio_files\Actor_09\03-01-05-01-02-02-09.wav,1
audio_files\Actor_09\03-01-05-02-01-01-09.wav,1
audio_files\Actor_09\03-01-05-02-01-02-09.wav,1
audio_files\Actor_09\03-01-05-02-02-01-09.wav,1
audio_files\Actor_09\03-01-05-02-02-02-09.wav,1
audio_files\Actor_09\03-01-06-01-01-01-09.wav,1
audio_files\Actor_09\03-01-06-01-01-02-09.wav,1
audio_files\Actor_09\03-01-06-01-02-01-09.wav,1
audio_files\Actor_09\03-01-06-01-02-02-09.wav,1
audio_files\Actor_09\03-01-06-02-01-01-09.wav,1
audio_files\Actor_09\03-01-06-02-01-02-09.wav,1
audio_files\Actor_09\03-01-06-02-02-01-09.wav,1
audio_files\Actor_09\03-01-06-02-02-02-09.wav,1
audio_files\Actor_10\03-01-01-01-01-01-10.wav,0
audio_files\Actor_10\03-01-01-01-01-02-10.wav,0
audio_files\Actor_10\03-01-01-01-02-01-10.wav,0
audio_files\Actor_10\03-01-01-01-02-02-10.wav,0
audio_files\Actor_10\03-01-02-01-01-01-10.wav,0
audio_files\Actor_10\03-01-02-01-01-02-10.wav,0
audio_files\Actor_10\03-01-02-01-02-01-10.wav,0
audio_files\Actor_10\03-01-02-01-02-02-10.wav,0
audio_files\Actor_10\03-01-02-02-01-01-10.wav,0
audio_files\Actor_10\03-01-02-02-01-02-10.wav,0
audio_files\Actor_10\03-01-02-02-02-01-10.wav,0
audio_files\Actor_10\03-01-02-02-02-02-10.wav,0
audio_files\Actor_10\03-01-05-01-01-01-10.wav,1
audio_files\Actor_10\03-01-05-01-01-02-10.wav,1
audio_files\Actor_10\03-01-05-01-02-01-10.wav,1
audio_files\Actor_10\03-01-05-01-02-02-10.wav,1
audio_files\Actor_10\03-01-05-02-01-01-10.wav,1
audio_files\Actor_10\03-01-05-02-01-02-10.wav,1
audio_files\Actor_10\03-01-05-02-02-01-10.wav,1
audio_files\Actor_10\03-01-05-02-02-02-10.wav,1
audio_files\Actor_10\03-01-06-01-01-01-10.wav,1
audio_files\Actor_10\03-01-06-01-01-02-10.wav,1
audio_files\Actor_10\03-01-06-01-02-01-10.wav,1
audio_files\Actor_10\03-01-06-01-02-02-10.wav,1
audio_files\Actor_10\03-01-06-02-01-01-10.wav,1
audio_files\Actor_10\03-01-06-02-01-02-10.wav,1
audio_files\Actor_10\03-01-06-02-02-01-10.wav,1
audio_files\Actor_10\03-01-06-02-02-02-10.wav,1
audio_files\Actor_11\03-01-01-01-01-01-11.wav,0
audio_files\Actor_11\03-01-01-01-01-02-11.wav,0
audio_files\Actor_11\03-01-01-01-02-01-11.wav,0
audio_files\Actor_11\03-01-01-01-02-02-11.wav,0
audio_files\Actor_11\03-01-02-01-01-01-11.wav,0
audio_files\Actor_11\03-01-02-01-01-02-11.wav,0
audio_files\Actor_11\03-01-02-01-02-01-11.wav,0
audio_files\Actor_11\03-01-02-01-02-02-11.wav,0
audio_files\Actor_11\03-01-02-02-01-01-11.wav,0
audio_files\Actor_11\03-01-02-02-01-02-11.wav,0
audio_files\Actor_11\03-01-02-02-02-01-11.wav,0
audio_files\Actor_11\03-01-02-02-02-02-11.wav,0
audio_files\Actor_11\03-01-05-01-01-01-11.wav,1
audio_files\Actor_11\03-01-05-01-01-02-11.wav,1
audio_files\Actor_11\03-01-05-01-02-01-11.wav,1
audio_files\Actor_11\03-01-05-01-02-02-11.wav,1
audio_files\Actor_11\03-01-05-02-01-01-11.wav,1
audio_files\Actor_11\03-01-05-02-01-02-11.wav,1
audio_files\Actor_11\03-01-05-02-02-01-11.wav,1
audio_files\Actor_11\03-01-05-02-02-02-11.wav,1
audio_files\Actor_11\03-01-06-01-01-01-11.wav,1
audio_files\Actor_11\03-01-06-01-01-02-11.wav,1
audio_files\Actor_11\03-01-06-01-02-01-11.wav,1
audio_files\Actor_11\03-01-06-01-02-02-11.wav,1
audio_files\Actor_11\03-01-06-02-01-01-11.wav,1
audio_files\Actor_11\03-01-06-02-01-02-11.wav,1
audio_files\Actor_11\03-01-06-02-02-01-11.wav,1
audio_files\Actor_11\03-01-06-02-02-02-11.wav,1
audio_files\Actor_12\03-01-01-01-01-01-12.wav,0
audio_files\Actor_12\03-01-01-01-01-02-12.wav,0
audio_files\Actor_12\03-01-01-01-02-01-12.wav,0
audio_files\Actor_12\03-01-01-01-02-02-12.wav,0
audio_files\Actor_12\03-01-02-01-01-01-12.wav,0
audio_files\Actor_12\03-01-02-01-01-02-12.wav,0
audio_files\Actor_12\03-01-02-01-02-01-12.wav,0
audio_files\Actor_12\03-01-02-01-02-02-12.wav,0
audio_files\Actor_12\03-01-02-02-01-01-12.wav,0
audio_files\Actor_12\03-01-02-02-01-02-12.wav,0
audio_files\Actor_12\03-01-02-02-02-01-12.wav,0
audio_files\Actor_12\03-01-02-02-02-02-12.wav,0
audio_files\Actor_12\03-01-05-01-01-01-12.wav,1
audio_files\Actor_12\03-01-05-01-01-02-12.wav,1
audio_files\Actor_12\03-01-05-01-02-01-12.wav,1
audio_files\Actor_12\03-01-05-01-02-02-12.wav,1
audio_files\Actor_12\03-01-05-02-01-01-12.wav,1
audio_files\Actor_12\03-01-05-02-01-02-12.wav,1
audio_files\Actor_12\03-01-05-02-02-01-12.wav,1
audio_files\Actor_12\03-01-05-02-02-02-12.wav,1
audio_files\Actor_12\03-01-06-01-01-01-12.wav,1
audio_files\Actor_12\03-01-06-01-01-02-12.wav,1
audio_files\Actor_12\03-01-06-01-02-01-12.wav,1
audio_files\Actor_12\03-01-06-01-02-02-12.wav,1
audio_files\Actor_12\03-01-06-02-01-01-12.wav,1
audio_files\Actor_12\03-01-06-02-01-02-12.wav,1
audio_files\Actor_12\03-01-06-02-02-01-12.wav,1
audio_files\Actor_12\03-01-06-02-02-02-12.wav,1
audio_files\Actor_13\03-01-01-01-01-01-13.wav,0
audio_files\Actor_13\03-01-01-01-01-02-13.wav,0
audio_files\Actor_13\03-01-01-01-02-01-13.wav,0
audio_files\Actor_13\03-01-01-01-02-02-13.wav,0
audio_files\Actor_13\03-01-02-01-01-01-13.wav,0
audio_files\Actor_13\03-01-02-01-01-02-13.wav,0
audio_files\Actor_13\03-01-02-01-02-01-13.wav,0
audio_files\Actor_13\03-01-02-01-02-02-13.wav,0
audio_files\Actor_13\03-01-02-02-01-01-13.wav,0
audio_files\Actor_13\03-01-02-02-01-02-13.wav,0
audio_files\Actor_13\03-01-02-02-02-01-13.wav,0
audio_files\Actor_13\03-01-02-02-02-02-13.wav,0
audio_files\Actor_13\03-01-05-01-01-01-13.wav,1
audio_files\Actor_13\03-01-05-01-01-02-13.wav,1
audio_files\Actor_13\03-01-05-01-02-01-13.wav,1
audio_files\Actor_13\03-01-05-01-02-02-13.wav,1
audio_files\Actor_13\03-01-05-02-01-01-13.wav,1
audio_files\Actor_13\03-01-05-02-01-02-13.wav,1
audio_files\Actor_13\03-01-05-02-02-01-13.wav,1
audio_files\Actor_13\03-01-05-02-02-02-13.wav,1
audio_files\Actor_13\03-01-06-01-01-01-13.wav,1
audio_files\Actor_13\03-01-06-01-01-02-13.wav,1
audio_files\Actor_13\03-01-06-01-02-01-13.wav,1
audio_files\Actor_13\03-01-06-01-02-02-13.wav,1
audio_files\Actor_13\03-01-06-02-01-01-13.wav,1
audio_files\Actor_13\03-01-06-02-01-02-13.wav,1
audio_files\Actor_13\03-01-06-02-02-01-13.wav,1
audio_files\Actor_13\03-01-06-02-02-02-13.wav,1
audio_files\Actor_14\03-01-01-01-01-01-14.wav,0
audio_files\Actor_14\03-01-01-01-01-02-14.wav,0
audio_files\Actor_14\03-01-01-01-02-01-14.wav,0
audio_files\Actor_14\03-01-01-01-02-02-14.wav,0
audio_files\Actor_14\03-01-02-01-01-01-14.wav,0
audio_files\Actor_14\03-01-02-01-01-02-14.wav,0
audio_files\Actor_14\03-01-02-01-02-01-14.wav,0
audio_files\Actor_14\03-01-02-01-02-02-14.wav,0
audio_files\Actor_14\03-01-02-02-01-01-14.wav,0
audio_files\Actor_14\03-01-02-02-01-02-14.wav,0
audio_files\Actor_14\03-01-02-02-02-01-14.wav,0
audio_files\Actor_14\03-01-02-02-02-02-14.wav,0
audio_files\Actor_14\03-01-05-01-01-01-14.wav,1
audio_files\Actor_14\03-01-05-01-01-02-14.wav,1
audio_files\Actor_14\03-01-05-01-02-01-14.wav,1
audio_files\Actor_14\03-01-05-01-02-02-14.wav,1
audio_files\Actor_14\03-01-05-02-01-01-14.wav,1
audio_files\Actor_14\03-01-05-02-01-02-14.wav,1
audio_files\Actor_14\03-01-05-02-02-01-14.wav,1
audio_files\Actor_14\03-01-05-02-02-02-14.wav,1
audio_files\Actor_14\03-01-06-01-01-01-14.wav,1
audio_files\Actor_14\03-01-06-01-01-02-14.wav,1
audio_files\Actor_14\03-01-06-01-02-01-14.wav,1
audio_files\Actor_14\03-01-06-01-02-02-14.wav,1
audio_files\Actor_14\03-01-06-02-01-01-14.wav,1
audio_files\Actor_14\03-01-06-02-01-02-14.wav,1
audio_files\Actor_14\03-01-06-02-02-01-14.wav,1
audio_files\Actor_14\03-01-06-02-02-02-14.wav,1
audio_files\Actor_15\03-01-01-01-01-01-15.wav,0
audio_files\Actor_15\03-01-01-01-01-02-15.wav,0
audio_files\Actor_15\03-01-01-01-02-01-15.wav,0
audio_files\Actor_15\03-01-01-01-02-02-15.wav,0
audio_files\Actor_15\03-01-02-01-01-01-15.wav,0
audio_files\Actor_15\03-01-02-01-01-02-15.wav,0
audio_files\Actor_15\03-01-02-01-02-01-15.wav,0
audio_files\Actor_15\03-01-02-01-02-02-15.wav,0
audio_files\Actor_15\03-01-02-02-01-01-15.wav,0
audio_files\Actor_15\03-01-02-02-01-02-15.wav,0
audio_files\Actor_15\03-01-02-02-02-01-15.wav,0
audio_files\Actor_15\03-01-02-02-02-02-15.wav,0
audio_files\Actor_15\03-01-05-01-01-01-15.wav,1
audio_files\Actor_15\03-01-05-01-01-02-15.wav,1
audio_files\Actor_15\03-01-05-01-02-01-15.wav,1
audio_files\Actor_15\03-01-05-01-02-02-15.wav,1
audio_files\Actor_15\03-01-05-02-01-01-15.wav,1
audio_files\Actor_15\03-01-05-02-01-02-15.wav,1
audio_files\Actor_15\03-01-05-02-02-01-15.wav,1
audio_files\Actor_15\03-01-05-02-02-02-15.wav,1
audio_files\Actor_15\03-01-06-01-01-01-15.wav,1
audio_files\Actor_15\03-01-06-01-01-02-15.wav,1
audio_files\Actor_15\03-01-06-01-02-01-15.wav,1
audio_files\Actor_15\03-01-06-01-02-02-15.wav,1
audio_files\Actor_15\03-01-06-02-01-01-15.wav,1
audio_files\Actor_15\03-01-06-02-01-02-15.wav,1
audio_files\Actor_15\03-01-06-02-02-01-15.wav,1
audio_files\Actor_15\03-01-06-02-02-02-15.wav,1
audio_files\Actor_16\03-01-01-01-01-01-16.wav,0
audio_files\Actor_16\03-01-01-01-01-02-16.wav,0
audio_files\Actor_16\03-01-01-01-02-01-16.wav,0
audio_files\Actor_16\03-01-01-01-02-02-16.wav,0
audio_files\Actor_16\03-01-02-01-01-01-16.wav,0
audio_files\Actor_16\03-01-02-01-01-02-16.wav,0
audio_files\Actor_16\03-01-02-01-02-01-16.wav,0
audio_files\Actor_16\03-01-02-01-02-02-16.wav,0
audio_files\Actor_16\03-01-02-02-01-01-16.wav,0
audio_files\Actor_16\03-01-02-02-01-02-16.wav,0
audio_files\Actor_16\03-01-02-02-02-01-16.wav,0
audio_files\Actor_16\03-01-02-02-02-02-16.wav,0
audio_files\Actor_16\03-01-05-01-01-01-16.wav,1
audio_files\Actor_16\03-01-05-01-01-02-16.wav,1
audio_files\Actor_16\03-01-05-01-02-01-16.wav,1
audio_files\Actor_16\03-01-05-01-02-02-16.wav,1
audio_files\Actor_16\03-01-05-02-01-01-16.wav,1
audio_files\Actor_16\03-01-05-02-01-02-16.wav,1
audio_files\Actor_16\03-01-05-02-02-01-16.wav,1
audio_files\Actor_16\03-01-05-02-02-02-16.wav,1
audio_files\Actor_16\03-01-06-01-01-01-16.wav,1
audio_files\Actor_16\03-01-06-01-01-02-16.wav,1
audio_files\Actor_16\03-01-06-01-02-01-16.wav,1
audio_files\Actor_16\03-01-06-01-02-02-16.wav,1
audio_files\Actor_16\03-01-06-02-01-01-16.wav,1
audio_files\Actor_16\03-01-06-02-01-02-16.wav,1
audio_files\Actor_16\03-01-06-02-02-01-16.wav,1
audio_files\Actor_16\03-01-06-02-02-02-16.wav,1
audio_files\Actor_17\03-01-01-01-01-01-17.wav,0
audio_files\Actor_17\03-01-01-01-01-02-17.wav,0
audio_files\Actor_17\03-01-01-01-02-01-17.wav,0
audio_files\Actor_17\03-01-01-01-02-02-17.wav,0
audio_files\Actor_17\03-01-02-01-01-01-17.wav,0
audio_files\Actor_17\03-01-02-01-01-02-17.wav,0
audio_files\Actor_17\03-01-02-01-02-01-17.wav,0
audio_files\Actor_17\03-01-02-01-02-02-17.wav,0
audio_files\Actor_17\03-01-02-02-01-01-17.wav,0
audio_files\Actor_17\03-01-02-02-01-02-17.wav,0
audio_files\Actor_17\03-01-02-02-02-01-17.wav,0
audio_files\Actor_17\03-01-02-02-02-02-17.wav,0
audio_files\Actor_17\03-01-05-01-01-01-17.wav,1
audio_files\Actor_17\03-01-05-01-01-02-17.wav,1
audio_files\Actor_17\03-01-05-01-02-01-17.wav,1
audio_files\Actor_17\03-01-05-01-02-02-17.wav,1
audio_files\Actor_17\03-01-05-02-01-01-17.wav,1
